id,studyweek with 1=baseline,semester 2=spring,date,correcttod,LON,LAT,withmask (0=without mask),socialdist (0=not physical distancing < 6 ft),Masksd (0=non-compliance with mask wearing and physical distancing),agegroup (1=<18;2=19-30;3=31-55;4=>55),white (0=nonwhite),sex (1=male),obese (0=not overweight or obese)
2297,1,2,2/10/2021,111405,39.675943,-75.745641,1,1,1,3,1,1,0
2298,1,2,2/10/2021,111405,39.676021,-75.745695,1,1,1,3,0,1,1
2299,1,2,2/10/2021,111411,39.675955,-75.746097,1,1,1,2,1,2,0
2300,1,2,2/10/2021,111411,39.67591,-75.746113,1,1,1,2,1,1,9
2301,1,2,2/10/2021,111439,39.676137,-75.74731,9,1,9,4,1,1,0
2302,1,2,2/10/2021,111444,39.67636,-75.747449,1,1,1,2,1,2,0
2303,1,2,2/10/2021,111444,39.676434,-75.747465,1,1,1,3,1,1,0
2304,1,2,2/10/2021,111447,39.676434,-75.747401,1,1,1,2,1,2,0
2305,1,2,2/10/2021,111448,39.676348,-75.747492,1,1,1,3,1,2,9
2306,1,2,2/10/2021,111451,39.676484,-75.747299,1,1,1,2,9,1,0
2307,1,2,2/10/2021,111454,39.676546,-75.747449,9,1,9,9,9,9,9
2308,1,2,2/10/2021,111454,39.67662,-75.747406,1,1,1,9,9,1,9
2311,1,2,2/10/2021,111604,39.677454,-75.749692,1,1,1,2,1,2,0
2315,1,2,2/10/2021,111615,39.677508,-75.750152,1,1,1,9,9,1,1
2316,1,2,2/10/2021,111628,39.677491,-75.75073,1,1,9,3,9,1,0
2317,1,2,2/10/2021,111653,39.677704,-75.751676,1,1,1,9,9,9,9
2318,1,2,2/10/2021,111859,39.67902,-75.753474,1,1,1,9,1,1,0
2319,1,2,2/10/2021,111933,39.680125,-75.753922,0,1,1,3,1,1,0
2320,1,2,2/10/2021,112315,39.681984,-75.75354,0,1,1,2,1,1,0
2321,1,2,2/10/2021,112313,39.681924,-75.75376,1,1,1,3,0,1,0
2324,1,2,2/10/2021,112558,39.680169,-75.749739,1,1,1,3,9,1,1
2325,1,2,2/10/2021,112609,39.679497,-75.749662,1,1,1,2,9,2,0
2326,1,2,2/10/2021,112754,39.67946993,-75.7486076,1,1,1,2,1,2,0
2327,1,2,2/10/2021,112802,39.6792903,-75.748132,1,1,1,2,1,1,0
2328,1,2,2/10/2021,112909,39.68139174,-75.74725576,0,1,1,2,1,2,0
2331,1,2,2/10/2021,113028,39.68352688,-75.7454329,1,1,1,3,0,1,0
2332,1,2,2/10/2021,113049,39.68364585,-75.746464,0,1,1,2,1,2,0
2335,1,2,2/10/2021,113115,39.68355941,-75.747595,0,1,9,2,0,1,0
2341,1,2,2/10/2021,113127,39.68352256,-75.7479348,1,1,1,3,1,1,0
2342,1,2,2/10/2021,113129,39.68334224,-75.74826,1,1,1,4,1,1,1
2345,1,2,2/10/2021,113131,39.68343973,-75.7482882,0,1,1,4,1,1,0
2346,1,2,2/10/2021,113137,39.68333239,-75.7484626,1,1,1,2,1,1,0
2347,1,2,2/10/2021,113136,39.68347689,-75.748598,0,1,1,4,1,1,1
2348,1,2,2/10/2021,113155,39.68320545,-75.74931286,1,1,1,3,9,1,0
2349,1,2,2/10/2021,113207,39.68337574,-75.749902,1,1,1,2,0,1,0
2350,1,2,2/10/2021,113208,39.68322299,-75.7500008,1,1,1,3,1,1,1
2351,1,2,2/10/2021,113209,39.68336749,-75.7500397,1,1,1,2,1,1,0
2354,1,2,2/10/2021,113212,39.68320937,-75.750316,1,1,1,2,1,2,1
