id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
2318,0,2/10/2021,111859,39.67902,-75.753474,4,1,1,1,1,9,1,1,0
2321,0,2/10/2021,112313,39.681924,-75.75376,2,1,1,1,1,3,0,1,0
2324,0,2/10/2021,112558,39.680169,-75.749739,1,1,1,1,1,3,9,1,1
2325,0,2/10/2021,112609,39.679497,-75.749662,2,1,1,1,1,2,9,2,0
2327,0,2/10/2021,112802,39.6792903,-75.748132,2,1,1,1,1,2,1,1,0
2341,0,2/10/2021,113127,39.68352256,-75.7479348,2,1,1,1,1,3,1,1,0
2342,0,2/10/2021,113129,39.68334224,-75.74826,1,1,1,1,1,4,1,1,1
2346,0,2/10/2021,113137,39.68333239,-75.7484626,2,1,1,1,1,2,1,1,0
2348,0,2/10/2021,113155,39.68320545,-75.74931286,2,1,1,1,1,3,9,1,0
2349,0,2/10/2021,113207,39.68337574,-75.749902,2,1,1,1,1,2,0,1,0
2350,0,2/10/2021,113208,39.68322299,-75.7500008,1,1,1,1,1,3,1,1,1
2351,0,2/10/2021,113209,39.68336749,-75.7500397,2,1,1,1,1,2,1,1,0
2355,0,2/10/2021,113216,39.683177,-75.750562,2,1,1,1,1,2,1,2,1
2356,0,2/10/2021,113216,39.6831686,-75.750564,2,1,1,1,1,2,1,1,0
2359,0,2/10/2021,113220,39.68314951,-75.7508088,1,1,1,1,1,4,1,2,0
2361,0,2/10/2021,113235,39.68324239,-75.7514137,2,1,1,1,1,2,1,2,0
2362,0,2/10/2021,113237,39.68324601,-75.7516296,2,1,1,1,1,2,1,1,0
2363,0,2/10/2021,113247,39.683053,-75.752056,2,1,1,1,1,3,1,2,0
2364,0,2/10/2021,113247,39.68319285,-75.75210102,2,1,1,1,1,3,0,1,0
2377,0,2/10/2021,113549,39.68585054,-75.7543723,1,1,1,1,1,2,1,2,0
2380,0,2/10/2021,113637,39.68738624,-75.7543612,2,1,1,1,1,2,1,1,0
2381,0,2/10/2021,113642,39.68763703,-75.754286,2,1,1,1,1,2,1,2,0
3295,1,2/16/2021,131832,39.67674813,-75.7472614,2,1,1,1,1,3,1,1,1
3296,1,2/16/2021,131855,39.67618352,-75.748237,1,1,1,1,1,3,1,2,1
3297,1,2/16/2021,131857,39.67613397,-75.7482913,2,1,1,1,1,2,1,2,1
3298,1,2/16/2021,131915,39.67680903,-75.748519,2,1,1,1,1,2,1,2,0
3299,1,2/16/2021,131916,39.67688335,-75.7484952,4,0,0,1,1,2,9,1,0
3300,1,2/16/2021,131925,39.67717236,-75.748476,2,0,0,0,0,2,1,1,0
3301,1,2/16/2021,131925,39.67718475,-75.7484657,2,0,0,0,0,2,1,1,0
3302,1,2/16/2021,131926,39.6771352,-75.748336,2,0,0,1,1,2,1,1,0
3303,1,2/16/2021,131931,39.67696592,-75.748243,1,0,0,0,0,2,1,2,0
3304,1,2/16/2021,131931,39.67695767,-75.748253,1,0,0,0,0,2,1,2,0
3305,1,2/16/2021,131931,39.67693909,-75.7482162,1,0,0,0,0,2,1,1,0
