id,date,LON,LAT,activity,withmask,maskcompliant,socialdist,agegroup,white,sex,obese,filter_$
2363,2/10/2021,39.683053004,-75.75205600,2,1,1,1,3,1,2,0,1
2364,2/10/2021,39.683192854,-75.75210102,2,1,1,1,3,0,1,0,1
2367,2/10/2021,39.682993143,-75.75283790,2,1,0,0,2,1,2,1,1
2368,2/10/2021,39.684001496,-75.75279705,2,1,1,0,2,1,2,1,1
2369,2/10/2021,39.683991176,-75.75278760,2,1,0,0,2,1,2,0,1
2370,2/10/2021,39.683980855,-75.75275950,2,1,0,1,2,0,2,0,1
2372,2/10/2021,39.684260635,-75.75274890,2,1,1,0,2,1,1,1,1
2373,2/10/2021,39.684272504,-75.75273900,2,1,1,0,2,1,2,1,1
2377,2/10/2021,39.685850536,-75.75437230,1,1,1,1,2,1,2,0,1
2380,2/10/2021,39.687386244,-75.75436120,2,1,1,1,2,1,1,0,1
2381,2/10/2021,39.687637027,-75.75428600,2,1,1,1,2,1,2,0,1
2383,2/10/2021,39.690090085,-75.75726730,1,1,1,0,3,1,1,1,1
2384,2/10/2021,39.690028165,-75.75755360,2,1,0,1,2,1,1,0,1
2385,2/10/2021,39.690130332,-75.75851320,2,1,1,0,3,1,1,0,1
